test_position,row_id,original_id,y_true,final_sklearn_score,final_sklearn_label,final_sklearn_threshold_margin,final_weka_score,final_weka_label,final_weka_threshold_margin,abs_score_difference
0,1,2,1,0.34743491419068373,1,0.015893777636342532,0.34743161001498452,1,0.015890473460643317,3.3041756992147064e-06
1,11,12,0,0.17699901539677521,0,-0.15454212115756599,0.17698567882454355,0,-0.15455545772979765,1.3336572231653632e-05
2,14,15,0,0,0,-0.3315411365543412,5.1611322166660312e-08,0,-0.33154108494301904,5.1611322166660312e-08
3,17,18,0,0.085049567876027257,0,-0.24649156867831395,0.085057349163847704,0,-0.24648378739049348,7.7812878204464031e-06
4,20,21,0,0.032232618809848242,0,-0.29930851774449296,0.032227528623950438,0,-0.29931360793039075,5.0901858978033565e-06
5,21,22,1,0.31091229771089107,0,-0.020628838843450126,0.31075120647267829,0,-0.020789930081662911,0.00016109123821278493
6,26,27,1,0.23170615375558526,0,-0.099834982798755939,0.23173387484356539,0,-0.099807261710775808,2.7721087980131509e-05
7,33,34,0,0.02975670739130053,0,-0.30178442916304066,0.029757111045818591,0,-0.30178402550852262,4.03654518060792e-07
8,34,35,0,0.066187119308256076,0,-0.26535401724608509,0.066195411560052139,0,-0.26534572499428905,8.2922517960631881e-06
9,45,46,1,0.4011233779931942,1,0.069582241438852999,0.39246566137910815,1,0.060924524824766957,0.0086577166140860418
10,54,55,0,0.70937956867709506,1,0.37783843212275386,0.70922930458048228,1,0.37768816802614108,0.00015026409661278439
11,63,64,1,0.16477139415212325,0,-0.16676974240221795,0.16478859716476782,0,-0.16675253938957338,1.7203012644573246e-05
12,65,66,1,0.23104402998210855,0,-0.10049710657223265,0.23104105643935041,0,-0.10050008011499079,2.9735427581334406e-06
13,66,67,1,0.60280307642969044,1,0.27126193987534925,0.6027979375470266,1,0.2712568009926854,5.1388826638465446e-06
14,73,74,0,0.22975321104333765,0,-0.10178792551100355,0.22978718680741633,0,-0.10175394974692487,3.3975764078680859e-05
15,75,76,0,0.23968725351801284,0,-0.091853883036328354,0.23969604028239719,0,-0.09184509627194401,8.7867643843442256e-06
16,82,83,1,0.078511121229809744,0,-0.25303001532453145,0.078515508739547241,0,-0.25302562781479399,4.3875097374967975e-06
17,83,84,0,0.16641095419103599,0,-0.16513018236330521,0.16649327648782519,0,-0.16504786006651601,8.2322296789200111e-05
18,90,91,1,0.72817450341971535,1,0.39663336686537415,0.72821314413271998,1,0.39667200757837878,3.8640713004634009e-05
19,92,93,0,0.23245802417630551,0,-0.099083112378035687,0.23039945709351575,0,-0.10114167946082545,0.0020585670827897584
20,104,105,0,0.65400863191234704,1,0.32246749535800584,0.65404967744501563,1,0.32250854089067443,4.1045532668593232e-05
21,109,110,0,0.31842643985335928,0,-0.01311469670098192,0.31845241405490665,0,-0.013088722499434546,2.5974201547374065e-05
22,113,114,0,0.049605147215882758,0,-0.28193598933845843,0.049525532070591988,0,-0.28201560448374918,7.9615145290770628e-05
23,118,119,0,0.056269880201084047,0,-0.27527125635325717,0.056291556797455081,0,-0.27524957975688613,2.167659637103414e-05
24,131,132,0,0.22154772603702264,0,-0.10999341051731856,0.22154347283532064,0,-0.10999766371902056,4.253201701998055e-06
25,141,142,0,0.14981507012885559,0,-0.18172606642548561,0.14984530998203194,0,-0.18169582657230926,3.0239853176350362e-05
26,149,150,0,0.20627540572093483,0,-0.12526573083340636,0.20627662231969288,0,-0.12526451423464832,1.2165987580414761e-06
27,154,155,0,0.1257863720956777,0,-0.2057547644586635,0.1258021256888712,0,-0.20573901086547,1.5753593193501558e-05
28,158,159,1,0.61263635758651591,1,0.28109522103217471,0.61265806727130467,1,0.28111693071696348,2.1709684788762118e-05
29,163,164,0,0.18006224682451288,0,-0.15147888972982831,0.1801130675281217,0,-0.1514280690262195,5.0820703608817075e-05
30,164,165,0,0.044156118049685882,0,-0.28738501850465531,0.044210753437895878,0,-0.28733038311644532,5.4635388209996194e-05
31,176,177,0,0.088215645195033082,0,-0.24332549135930812,0.088217686955328542,0,-0.24332344959901264,2.0417602954597713e-06
32,178,179,0,0.23959034686794001,0,-0.091950789686401191,0.23960768343152725,0,-0.091933453122813952,1.7336563587239118e-05
33,181,182,0,0.039013503532415221,0,-0.29252763302192597,0.03901541432230516,0,-0.29252572223203605,1.9107898899389797e-06
34,188,189,0,0.11001260243611732,0,-0.22152853411822387,0.11001689911862089,0,-0.22152423743572031,4.2966825035684053e-06
35,192,193,0,0.14853215816229248,0,-0.18300897839204872,0.14850719080325744,0,-0.18303394575108375,2.496735903503855e-05
