test_position,row_id,original_id,y_true,final_cpp_score,final_cpp_label,final_cpp_threshold_margin,final_weka_score,final_weka_label,final_weka_threshold_margin,abs_score_difference
0,1,2,1,0.34743491419068351,1,0.01589377763634231,0.34743161001498452,1,0.015890473460643317,3.3041756989926618e-06
1,11,12,0,0.17699901539677518,0,-0.15454212115756602,0.17698567882454355,0,-0.15455545772979765,1.3336572231625876e-05
2,14,15,0,0,0,-0.3315411365543412,5.1611322166660312e-08,0,-0.33154108494301904,5.1611322166660312e-08
3,17,18,0,0.085049567876027313,0,-0.2464915686783139,0.085057349163847704,0,-0.24648378739049348,7.781287820390892e-06
4,20,21,0,0.032232618809848228,0,-0.29930851774449296,0.032227528623950438,0,-0.29931360793039075,5.0901858977894787e-06
5,21,22,1,0.31091229771089063,0,-0.02062883884345057,0.31075120647267829,0,-0.020789930081662911,0.00016109123821234084
6,26,27,1,0.23170615375558523,0,-0.099834982798755967,0.23173387484356539,0,-0.099807261710775808,2.7721087980159265e-05
7,33,34,0,0.029756707391300524,0,-0.30178442916304066,0.029757111045818591,0,-0.30178402550852262,4.0365451806773089e-07
8,34,35,0,0.066187119308256104,0,-0.26535401724608509,0.066195411560052139,0,-0.26534572499428905,8.2922517960354325e-06
9,45,46,1,0.40112337799277742,1,0.069582241438436221,0.39246566137910815,1,0.060924524824766957,0.008657716613669264
10,54,55,0,0.70937956867709528,1,0.37783843212275409,0.70922930458048228,1,0.37768816802614108,0.00015026409661300644
11,63,64,1,0.16477139415212322,0,-0.16676974240221798,0.16478859716476782,0,-0.16675253938957338,1.7203012644601001e-05
12,65,66,1,0.23104402998210857,0,-0.10049710657223263,0.23104105643935041,0,-0.10050008011499079,2.9735427581611962e-06
13,66,67,1,0.60280307642969044,1,0.27126193987534925,0.6027979375470266,1,0.2712568009926854,5.1388826638465446e-06
14,73,74,0,0.22975321104333757,0,-0.10178792551100363,0.22978718680741633,0,-0.10175394974692487,3.3975764078764126e-05
