training_position,row_id,original_id,fold,y_true,probability_class_1
0,0,1,5,1,0.42474224096607399
1,2,3,3,0,0.15535162705419409
2,3,4,3,0,0.052158393217305594
3,4,5,3,0,0.078911978461280258
4,5,6,1,0,0.29285754648087409
5,6,7,4,0,0.1889908305651056
6,7,8,4,0,0.11464707346868859
7,8,9,2,0,0.17895163986246745
8,9,10,5,0,0.08402150202805457
9,10,11,2,0,0.35242080554471616
10,12,13,4,0,0.085177738362055153
11,13,14,1,1,0.58323256375701138
12,15,16,1,0,0.53139086604818564
13,16,17,4,1,0.34366094989056994
14,18,19,4,0,0
15,19,20,2,0,0.33666576026222683
16,22,23,2,1,0.64785220887407069
17,23,24,2,1,0.18929176650755469
18,24,25,2,0,0.084644590097291458
19,25,26,5,0,0.065662767429418345
20,27,28,5,0,0.088755701417398969
21,28,29,3,0,0.15259405169531273
22,29,30,1,0,0.056862762870826609
23,30,31,2,0,0.082911656747455167
24,31,32,4,1,0.64088092836829902
25,32,33,2,0,0.15823191643477275
26,35,36,2,0,0.18109206593256807
27,36,37,2,0,0.0847066532386338
28,37,38,4,0,0.19751210859604859
29,38,39,2,1,0.39786594465152952
30,39,40,3,0,0.24558008161811229
31,40,41,2,0,0.11683514842811997
32,41,42,5,0,0.062147104807855368
33,42,43,1,0,0.34595461625081197
34,43,44,1,0,0.071354085562846045
35,44,45,2,0,0.1566939691950941
36,46,47,5,1,0.37614787342814787
37,47,48,2,1,0
38,48,49,5,0,0.1084630687573853
39,49,50,5,0,0.027417412957505969
40,50,51,3,1,0.51568593337085578
41,51,52,1,0,0.039050292879499501
42,52,53,1,0,0.15241107124476841
43,53,54,1,0,0.55656114257722467
44,55,56,5,0,0.23617034480702404
45,56,57,5,0,0.075183104082026872
46,57,58,3,0,0.043474420753079869
47,58,59,3,0,0.40226683716830408
48,59,60,2,0,0.29366988333164917
49,60,61,4,1,0
50,61,62,1,0,0.19723150377752699
51,62,63,2,1,0.81324351596835653
52,64,65,1,0,0.35522620825058654
53,67,68,5,0,0.17166418505106182
54,68,69,1,0,0.11328535152676181
55,69,70,2,0,0.67838810220541401
56,70,71,1,0,0.12415410889358866
57,71,72,5,1,0.75192504408347449
58,72,73,1,0,0.076632235416199151
59,74,75,2,0,0
60,76,77,4,0,0.17007066744901289
61,77,78,3,0,0.28341382083748806
62,78,79,4,1,0.25919296422659627
63,79,80,1,1,0.22767515876984334
64,80,81,2,0,0
65,81,82,3,0,0.037134796050411895
66,84,85,5,0,0.11853880998672285
67,85,86,2,0,0.05366608603260839
68,86,87,1,1,0.19805810582509534
69,87,88,3,0,0.077997935718311096
70,88,89,5,0,0.076806763821151786
71,89,90,1,0,0.67658754564326395
72,91,92,4,0,0.1312478903251435
73,93,94,5,0,0.19878396591388164
74,94,95,2,0,0.22116710183075766
75,95,96,4,0,0.1055548789537322
76,96,97,1,0,0.124935869856678
77,97,98,2,0,0.18867794199514099
78,98,99,1,0,0.12343412783985248
79,99,100,1,1,0.068804457190252452
80,100,101,3,0,0.24039925833545148
81,101,102,5,0,0.037285334441128616
82,102,103,4,0,0.23420716950256501
83,103,104,5,1,0.14737772649265715
84,105,106,3,0,0.16091008028895323
85,106,107,3,0,0.25759321640944088
86,107,108,1,0,0.13248174150900488
87,108,109,1,0,0.20223705897954924
88,110,111,5,0,0.079348426473530229
89,111,112,1,0,0.35507827256090901
90,112,113,1,0,0.56192062971292644
91,114,115,1,0,0.28976559949043762
92,115,116,4,1,0.25499018823939557
93,116,117,1,0,0.21422633545049158
94,117,118,1,1,0.44987721623295834
95,119,120,2,0,0.038593748984858289
96,120,121,4,1,0.62608642143641091
97,121,122,3,1,0.30026628698988339
98,122,123,2,0,0.28797428151224441
99,123,124,1,1,0.19556454176836255
100,124,125,4,0,0.028850886323841737
101,125,126,3,0,0.34197491533963581
102,126,127,2,0,0.083818055552191004
103,127,128,3,1,0.036466301436585649
104,128,129,2,1,0.13117670850346744
105,129,130,3,0,0.43953583302936572
106,130,131,4,0,0.23241204418359568
107,132,133,2,0,0.13374368254840285
108,133,134,3,0,0.046156707019681699
109,134,135,4,0,0.14564369144933645
110,135,136,4,0,0.55653980945038528
111,136,137,3,0,0
112,137,138,3,0,0.11599729627179924
113,138,139,4,1,0.34243993733650346
114,139,140,1,0,0.12095579495786175
115,140,141,1,1,0.28626541631259328
116,142,143,2,0,0.46048985254426938
117,143,144,1,0,0.074616082959537158
118,144,145,1,0,0.11935882338284493
119,145,146,5,0,0.28128235273361052
120,146,147,2,1,0.037256885940653815
121,147,148,3,0,0.15647358932495647
122,148,149,2,0,0.4273297173484738
